Nordine Jouira,et Lucile Vidal,NUPES,Meurthe-Et-Moselle - 1ère,32.83%
Cécile FAURE,et Eugène REINBERGER,NUPES,Pyrenees-Atlantiques - 2ème,25.47%
FABRICE MATTEUCCI,et Valérie Declerck,NUPES,Rhone - 5ème,22.82%
Aurélie GRIES,et Julien PRISSETTE,NUPES,Rhone - 1ère,37.75%
JEANNE DROMARD,et Gérald Bonnin,Ensemble !,Seine-Saint-Denis - 1ère,18.89%
François Piquemal,et Victoria Scampa,NUPES,Haute-Garonne - 4ème,46.54%
julien colet,et emmanuelle chaize,NUPES,Herault - 1ère,26.94%
Véronique ROUDÉVITCH,et Patrick ALEXANDRE,NUPES,Maine-Et-Loire - 3ème,23.18%
Laurianne Rossi,et Raphaëlle Pignarre,Ensemble !,Hauts-De-Seine - 11ème,36.11%
Nathalie Cullell,et François Ferrand,NUPES,Pyrenees-Orientales - 3ème,27.29%
Éric Girardin,et Sylvie Rouillere,Ensemble !,Marne - 3ème,30.77%
Erik Pagès,et Mélodia Semichon-Husset,NUPES,Val-De-Marne - 8ème,28.16%
Victor Prandt,et Fatiha Didaoui,NUPES,Rhone - 13ème,21.67%
Barbara Pompili,et Ingrid Dordain Saint,Ensemble !,Somme - 2ème,29.84%
Marie-Claire Constans,et Thomas Pedoussaut,Ensemble !,Haute-Garonne - 4ème,23.59%
Jean-Philippe ARDOUIN,et Joelle MAILLET,Ensemble !,Charente-Maritime - 3ème,24.53%
Célia Pereira,et Olivier Riccelli,NUPES,Nord - 6ème,19.94%
erwan balanant,et Fabienne Le Calvez,Ensemble !,Finistere - 8ème,34.87%
Anne Le Gagne,et Bruno voyer,Ensemble !,Ille-Et-Vilaine - 7ème,28.37%
Marion Gorgiard,et Augustin Marigliano,NUPES,Cotes-D'armor - 1ère,27.49%
Jérome Guedj,et Hella Kribi-Romdhane,NUPES,Essonne - 6ème,38.31%
Caroline Janvier,et Éric Lepêcheur,Ensemble !,Loiret - 2ème,29.10%
Pierre CORDIER,et Isabelle COQUET,Divers droite,Ardennes - 2ème,40.98%
Aurore Bergé,et Philippe Emmanuel,Ensemble !,Yvelines - 10ème,33.43%
Lisa Belluco,et Stéphane Patrier,NUPES,Vienne - 1ère,32.56%
Mathieu Lefevre,et Sandrine Lalanne,Ensemble !,Val-De-Marne - 5ème,29.45%
Lucas TROTTMANN,et Bernadette SAMBOU SAIVET,NUPES,Bouches-Du-Rhone - 9ème,21.56%
Virginie DUBY-MULLER,et Jean-Paul BOSLAND,Les républicains,Haute-Savoie - 4ème,31.24%
Charlotte Parmentier - Lecocq,et Jean Moullière,Ensemble !,Nord - 6ème,33.60%
GUILLAUME KASBARIAN,et VERONIQUE DE MONTCHALIN,Ensemble !,Eure-Et-Loir - 1ère,31.32%
Léa Balage El Mariky,et Pierre Yvain Arnaud,NUPES,Paris - 3ème,38.66%
Eva Sas,et Sandrine Charnoz,NUPES,Paris - 8ème,41.70%
Hélène Le Cacheux,et Jean-Yves Salvat,NUPES,Bouches-Du-Rhone - 14ème,25.80%
Maxime DA SILVA,et Sylvie NICQ-CROIZAT,NUPES,Seine-Maritime - 1ère,33.05%
Anne Cécile VIOLLAND,et Christophe SONGEON,Ensemble !,Haute-Savoie - 5ème,28.06%
Julie Barbaux,et Jean-Cédric GRINDU,NUPES,Hauts-De-Seine - 6ème,15.47%
Christian Jolie,et Celine carle Faye,NUPES,Ain - 3ème,22.36%
Marie POCHON,et Christian Bussat,NUPES,Drome - 3ème,35.49%
Brice Gaillard,et Justine Larnac,NUPES,Hauts-De-Seine - 13ème,27.91%
Nicolas Thierry,et Florence Guéry,NUPES,Gironde - 2ème,45.12%
CECILE SOUBELET,et Eloïse Schollaert,NUPES,Hauts-De-Seine - 10ème,30.75%
Christine Arrighi,et Myriam Martin,NUPES,Haute-Garonne - 9ème,39.77%
Bernard PAEMELAERE,et VELLY MARIE,NUPES,Loire - 4ème,23.56%
Clémence Guetté,et Robin Albert,NUPES,Val-De-Marne - 2ème,47.46%
Cédric Briolais,et Catherine Lasserre,NUPES,Yvelines - 10ème,22.04%
Romain Grau,et Isabelle de Noëll-Marchesan,Reconquête,Pyrenees-Orientales - 1ère,24.54%
Marine Tondelier,et Cecile Yosbergue,NUPES,Pas-De-Calais - 11ème,23.43%
Aminata NIAKATÉ,et Emma AZMINE-AYOUT,NUPES,Paris - 13ème,30.55%
Benjamin Badouard,et Annie Celdran,NUPES,Rhone - 4ème,31.72%
