GIOVANNI PAYET,et Audrey CORIDON,Divers gauche,La Reunion - 1ère,4.19%
Robert Baud,et Brigitte Passicos,Divers Ecologistes,Haute-Garonne - 9ème,3.26%
Chrystelle Garel,et Michel Clerc,NUPES,Haut-Rhin - 4ème,15.31%
Mylene Dune,et Pierre NAVARRO,NUPES,Rhone - 9ème,20.24%
Audrey Capelli,et Patricia Fourrichon,Sans étiquette,Haute-Savoie - 5ème,1.52%
Christophe Jaubert,et Amina Bouatlaoui,Divers Ecologistes,Val-De-Marne - 9ème,3.58%
Nicolas Flament,et Audrey Guilbaud,Les républicains,Val-D'oise - 6ème,12.29%
Annabelle Fauvernier,et Robin Pelluchi,Divers gauche,Haute-Garonne - 8ème,17.53%
fabrice Barusseau,et Cyril CHAPPET,Divers gauche,Charente-Maritime - 3ème,9.85%
Cyril GRANDIN,et Patricia BOULAN,NUPES,Nord - 17ème,22.91%
Roger Rossin,et Ronan Proto,Les républicains,Vaucluse - 4ème,7.67%
Jeremy Martin,et Isabelle Kljajic,Les républicains,Essonne - 4ème,10.26%
Jean Valiere vialeix,et Geraldine BELEZY,Divers droite,Haute-Vienne - 1ère,8.84%
LONG Cedric,et ARTHUR PATOU,Sans étiquette,Bouches-Du-Rhone - 14ème,0.61%
Vincent Baladi,et Jeanne d’Hauteserre,Les républicains,Paris - 1ère,9.52%
Pascal Lebecq,et Alexandra Viandier,NUPES,Pas-De-Calais - 6ème,15.98%
luc FOUTRY,et carine GAU,Les républicains,Nord - 6ème,14.17%
Julien Argento,et Roger Castel,Les républicains,Var - 2ème,6.29%
Florence Chabirand,et Thierry Jay,NUPES,Loiret - 5ème,18.87%
Michèle LECLERC,et Valentin PICHON,NUPES,Haute-Marne - 1ère,16.20%
Sabine Oromi,et Elian Cellier,NUPES,Gard - 3ème,20.66%
Martine Madelaine,et Pascal Daunit,Ensemble !,Charente-Maritime - 1ère,22.99%
Nancy BÉLART,et Jérémy Lecarpentier,NUPES,Pas-De-Calais - 5ème,18.03%
Jérôme Loriau,et Chantal Rolgen,Les républicains,Paris - 12ème,17.56%
Jean-Loup KASTLER,et Myriam Manni,Divers Ecologistes,Ain - 3ème,4.93%
Didier QUENTIN,et Christophe Sueur,Les républicains,Charente-Maritime - 5ème,17.59%
Aina Kuric,et Franck Jacquet,Divers centre,Marne - 2ème,12.51%
Chantal Berthélémy,et Cédric Lattuada,NUPES,Marne - 3ème,17.88%
Marc Coatanéa,et Corinne Tarditi,Ensemble !,Finistere - 2ème,13.57%
Guillaume CHICHE,et Corine MICOU,Sans étiquette,Deux-Sevres - 1ère,17.33%
Hervé LIBERMAN,et Sandy SOULAINE,Union des démocrates et des indépendants,Bouches-Du-Rhone - 11ème,10.56%
David Berrué,et Lola Beuze,NUPES,Pyrenees-Orientales - 2ème,20.28%
Anne Laure CHAINTRON,et Robert INJEY,NUPES,Alpes-Maritimes - 1ère,20.42%
Alain Blanchard,et Denise Renaud,Divers droite,Vendee - 3ème,15.83%
Fortuné PELLICANO,et Carole CLEUZIOU,Parti radical de gauche,Finistere - 2ème,1.34%
Sophie Reynal,et Christophe Korell,Divers centre,Oise - 4ème,5.79%
Arnaud Abel,et Maëva Chazal,Divers centre,Paris - 5ème,1.73%
Laurent MARTIN SAINT LÉON,et Agnès Delseny,Divers centre,Hauts-De-Seine - 2ème,1.17%
Adama TRAORE,et Nadia Lounis-Dahan,Divers Ecologistes,Hauts-De-Seine - 6ème,4.14%
Dominique LECUONA,et Michel BARIS,Divers Ecologistes,Landes - 2ème,0.91%
Pascal BOURGOIS,et Laurine JANICOT,NUPES,Gironde - 10ème,23.40%
Damien LACROIX,et Françoise LECLERC,NUPES,Nord - 13ème,24.15%
Tristan Martin,et Valmont Lefebvre,Divers gauche,Haute-Garonne - 6ème,0.33%
Delphine Lanoix,et Corinne Jisseaux,Droite souverainiste,Haute-Garonne - 6ème,1.16%
Réza Salami,et Sylvie Gestin,Divers gauche,Finistere - 2ème,9.94%
Christelle HELMAN,et Sami MECABIH,Divers gauche,Haute-Garonne - 6ème,4.43%
Marie-Paule OLIVE,et Lionel Jamon,NUPES,Loire - 6ème,18.99%
François-Xavier DUGOURD,et CATHERINE RENOSI,Les républicains,Cote-D'or - 1ère,14.80%
Joachim Le Floch-Imad,et Catherine Cailleau,Ensemble !,Sarthe - 4ème,19.09%
Arthur COTTREL,et Sylvie KERN,Reconquête,Haute-Garonne - 4ème,4.13%
ghislain descazeaux,et Liliane Morvan,Divers gauche,Tarn-Et-Garonne - 1ère,7.98%
Julien Midali,et Bérengère bombal,Parti radical de gauche,Haute-Garonne - 7ème,2.61%
Barbara Bertozzi Bievelot,et Marie-Neige Houchard,NUPES,Meurthe-Et-Moselle - 4ème,19.18%
Gwenvael Duret,et Céline Bruneau Biguet,Divers Ecologistes,Loire-Atlantique - 3ème,2.73%
Pierre-Yves JOURDAIN,et Martine Seguela,NUPES,Eure - 5ème,20.85%
Paul Bazin,et Anicha Ramchurn,Les républicains,Val-De-Marne - 5ème,20.11%
Philippine Heyman,et Daniel Cordiez-Plouy,NUPES,Nord - 14ème,17.03%
Isabelle Payet,et Ibrahim Moullan,Sans étiquette,La Reunion - 4ème,0.43%
Christophe Mandereau,et Myriam Petit,Divers Ecologistes,Hauts-De-Seine - 7ème,3.76%
Muriel CABARET,et Christophe COUNIL,Divers gauche,Sarthe - 2ème,6.70%
Benjamin Duprat,et Damien Gendrejeski,Union pour la France,Loire-Atlantique - 3ème,1.25%
Sylvie TOLMONT,et Romuald MARTIN,Divers gauche,Sarthe - 4ème,15.47%
Richard Riani,et Magdala Saminadin,Divers centre,La Reunion - 4ème,1.44%
Stéphane FOUÉRÉ,et Rafika BAGHOU,Divers gauche,Sarthe - 1ère,1.51%
Pierre Nicolas Bapt,et Véronique Barraqué-Onno,Parti radical de gauche,Haute-Garonne - 1ère,7.13%
Laure Miller,et Philippe salmon,Ensemble !,Marne - 2ème,21.23%
Sulyvan Ransquin,et Sarah Lempereur,NUPES,Aisne - 2ème,17.66%
Alexandra Dublanche,et Charles-Philippe Mourgues,Les républicains,Yvelines - 5ème,17.90%
Oscar Castillo-Mendegris,et Stéphanie Joly,Les républicains,Haute-Garonne - 1ère,3.73%
Frederic CAUDERLIER,et Josephine fossaert,Ensemble !,Nord - 5ème,24.56%
Gilles Joviado,et Monique Falères,Divers gauche,Haute-Garonne - 2ème,6.95%
Philippe LAURENT,et Saïd Ait-Ouaraz,Union des démocrates et des indépendants,Hauts-De-Seine - 13ème,16.49%
Sadowski Ewa,et Benjamin Duprat,Rassemblement National,Haute-Garonne - 4ème,7.16%
Jean-Claude LASSALLE,et Thierry KOVACS,Les républicains,Isere - 8ème,20.89%
Thomas BARKATS,et Audrey BIBOLLET,Rassemblement National,Haute-Garonne - 9ème,14.22%
Viviane Thivent,et Francis Taurand,NUPES,Aude - 2ème,20.94%
Paul Rumler,et Marie-Pierre GLEIZES,Divers gauche,Haute-Garonne - 9ème,4.91%
Sarah Fraincart,et Mohamed Zahouani,NUPES,Aube - 2ème,16.89%
Sébastien Huyghe,et Laure Bazan,Les républicains,Nord - 5ème,17.51%
Aude BATTISTELLA,et Hugues Arnaud,Reconquête,Haute-Garonne - 1ère,4.70%
Frédéric LUNEL,et Lydia Hamonou-Boiroux,Divers gauche,Sarthe - 5ème,9.32%
Gilles Loyez,et Véronique VELTER,NUPES,Ardennes - 2ème,19.06%
NATHALIE Coutenet,et Chantal Cardi,Divers centre,Bouches-Du-Rhone - 10ème,2.00%
Bertrand SERP,et Caroline Adoue-Bielsa,Les républicains,Haute-Garonne - 4ème,8.80%
Kader Chekhemani,et Charlotte Goujon ( Maire du Petit-Quevilly ),Divers gauche,Seine-Maritime - 3ème,11.01%
Charles Campo,et Kevin Gautier,Droite souverainiste,Haute-Garonne - 2ème,1.04%
Elisabeth Piotelat,et Pablo Martin-Gomez,Divers,Essonne - 6ème,1.10%
Marc Quinton,et Wolfgang MAHLE,Divers gauche,Haute-Garonne - 6ème,0.77%
Didier FREVILLE,et Valentine FREY,Divers centre,Aube - 3ème,0.80%
David Saforcada,et Nesrine Briki,Divers,Haute-Garonne - 3ème,0.21%
Pauline Lorans,et Nathalie brouat,Reconquête,Haute-Garonne - 2ème,4.34%
Adeline Guibert,et Bruce Laravine,Divers,Haute-Garonne - 2ème,0.45%
Theodore Babarit,et Ludovic Gelot,Divers Ecologistes,Vendee - 4ème,5.79%
Amélie THEROND KERAUDREN,et Pascal ROY,Union des démocrates et des indépendants,Yvelines - 5ème,3.41%
Jean christophe Cheronnet,et Isabelle Menendez,Les républicains,Haute-Garonne - 5ème,3.32%
Sophie PERRIN,et Christophe PINEAU,NUPES,Ardennes - 3ème,14.78%
Nicolas Jeanneté,et Anessa Lahouassa,Divers droite,Paris - 13ème,14.02%
Arnaud DUMONTIER,et Madame Corry NEAU,Les républicains,Oise - 4ème,13.34%
Didier REAULT,et Thierry SANTELLI,Les républicains,Bouches-Du-Rhone - 6ème,8.39%
Sarah Weiss Moessmer,et Martin Meyer,Régionalistes,Bas-Rhin - 5ème,8.44%
Véronique Baude,et Jean-Yves Hedon,Les républicains,Ain - 3ème,17.98%
Gael Briand,et Patricia Riou,Régionalistes,Morbihan - 5ème,3.31%
Younès Benslimane,et Matthieu Escande,Divers gauche,Haute-Garonne - 9ème,0.81%
Pierre Beyssac,et Duncan Frénéhard,Divers,Paris - 9ème,1.17%
Jérémy BIZET,et Dominique JULIEN-LABRUYERE,Divers Ecologistes,Yvelines - 2ème,4.63%
Marylène Faure,et Samuel Cazaux,NUPES,Gironde - 8ème,18.84%
Alexis Chaussalet,et Nadine Marée,NUPES,La Reunion - 3ème,16.57%
Ophélie Van-elsuwe,et Didier CARON,Ensemble !,Oise - 7ème,13.88%
Hadrien Laurent,et Annie Sommier,Parti radical de gauche,Hauts-De-Seine - 2ème,2.68%
Mohamed Assamti,et Melissa ARRAULT,NUPES,Oise - 4ème,17.67%
Corinne DANGAS,et Paul Kempf,Divers,Hauts-De-Seine - 1ère,0.15%
Anaïs Jalouneix,et Yves Cozzoli,Divers gauche,Haute-Garonne - 4ème,0.50%
Anissa KHEDHER,et Jean Chanas,Ensemble !,Rhone - 7ème,17.37%
Bertrand Coquard,et Sylvie d’Esteves,Union des démocrates et des indépendants,Yvelines - 3ème,14.73%
Dimitri BREINER,et Vincent Noureau,Divers,Haut-Rhin - 6ème,0.37%
Anne Grieu,et Denis Schmidt,Divers,Haute-Garonne - 5ème,0.92%
François CHEREAU,et Alexandra CAVAILLES MORENO,Divers Ecologistes,Loir-Et-Cher - 2ème,1.94%
Samy Ahmed-Yahia,et Isabelle Daubard,NUPES,Bas-Rhin - 8ème,9.86%
Valentin Plichon,et François Mauviard,Divers,Bas-Rhin - 3ème,0.57%
Elsa Denferd,et Rémy Dauvergne,NUPES,Allier - 3ème,19.53%
Matthieu Ploquin,et Charles Dupoiron,Divers gauche,Ille-Et-Vilaine - 3ème,1.23%
aurane reihanian,et pierre larrieu,Divers droite,Ain - 4ème,16.07%
Frédéric Mesguich,et Maeli Barennes,Divers Ecologistes,Loire-Atlantique - 4ème,1.14%
Philippe Benassaya,et Marie-Claude Duchein,NUPES,Alpes-Maritimes - 5ème,17.73%
Catherine Simonin,et Damien Audouy,Ensemble !,Tarn-Et-Garonne - 1ère,17.33%
Guillaume DUCROT,et Diane DECROUX,Divers droite,Haute-Savoie - 5ème,5.14%
Matthias Prodhomme,et Marion Dubrulle,Divers droite,Loire-Atlantique - 4ème,0.06%
Xavier Brunschvicg,et Stéphane RIZZO,Parti radical de gauche,Calvados - 5ème,4.45%
Philippe Benassaya,et Nicolas Dainville,Les républicains,Yvelines - 11ème,18.10%
François Péguillet,et Typhaine Leforestier,Les républicains,Seine-Saint-Denis - 1ère,2.43%
Thierry HORY,et Anne Marie LINDEN GUESDON,Les républicains,Moselle - 2ème,14.47%
Fabienne Labrette ménager,et Olivier Sasso,Les républicains,Sarthe - 1ère,17.44%
Rodolph Castel,et Genevieve Mazuel,Divers gauche,Bouches-Du-Rhone - 11ème,0.99%
christophe Aubin,et Louise Abdul Denoo,Divers,Yvelines - 11ème,2.04%
Denis Le Bars,et Florent Moreau,Divers droite,Vendee - 4ème,4.76%
MARC FRIEDRICH,et FLORSCH Michel,Les républicains,Moselle - 6ème,9.78%
Amandine Bonifacio,et Daniel Traché,NUPES,Pas-De-Calais - 9ème,15.98%
JACQUES VIALETTES,et ERIC LAFFARGUE,Parti radical de gauche,Lot-Et-Garonne - 3ème,2.24%
Bruno Lafeuille,et France ANDRIGHETTO,Droite souverainiste,Isere - 1ère,0.86%
Christelle Bellay,et Thomas Saint-Laurent,Droite souverainiste,Ardennes - 2ème,1.01%
Stanislas THIRY,et Patricia VIALENCHE,Divers centre,Herault - 8ème,1.09%
Olivier Damaisin,et Farah Haminadi,Ensemble !,Lot-Et-Garonne - 3ème,20.15%
Sophie DELONG,et Antoine ROYER,Les républicains,Haute-Marne - 1ère,13.42%
Roch Brancour,et Maryline LÉZÉ,Les républicains,Maine-Et-Loire - 1ère,10.23%
Florie Marie,et Thibault Dalichamps,Divers,Essonne - 7ème,0.89%
Florian SAMIEZ,et Paul GALIBERT,Divers,Hauts-De-Seine - 12ème,0.58%
Laurence Martin,et Yves Guizard,Les républicains,Pyrenees-Orientales - 3ème,5.80%
Patrick LOISEAU,et TESSON Brigitte,Divers centre,Vendee - 2ème,3.98%
Jean-Luc Bergeon,et Maurel Ginette,Divers gauche,Herault - 3ème,9.36%
Céline Sauvêtre,et Valentin Rondeau,NUPES,Vendee - 4ème,17.58%
Morgane Rengard,et Charles-harris Dussaux,NUPES,Pas-De-Calais - 2ème,22.48%
Sophie Simonnet,et Myriam Letellier,Divers droite,Calvados - 1ère,13.87%
Marina Lafay,et Corduan Guilalume,Divers gauche,Bas-Rhin - 4ème,0.60%
Nolwenn Le Gac,et Nicolas Le Gland,Divers,Paris - 11ème,1.18%
Michel FLAHAUT,et Jocelyne CIESLAK,Divers gauche,Pas-De-Calais - 1ère,3.98%
Vincent Rivet-Martel,et Yvonne Quintino,Divers,Herault - 1ère,2.90%
Rabbi KOKOLO,et Salima GUEDOUAR,NUPES,Sarthe - 5ème,19.75%
Ewann Gavard,et Antoine Tissier,Divers,Nord - 4ème,0.42%
Bruno Chevalier,et Dominique Renoux,Divers gauche,Loire-Atlantique - 4ème,4.65%
Francis Daspe,et Sylvie VENTURA-CID,NUPES,Pyrenees-Orientales - 1ère,23.63%
Jérôme Garcia,et Christian Vasselin,Les républicains,Nord - 10ème,3.05%
Jérôme Pous,et Emmanuelle Fratani,NUPES,Pyrenees-Orientales - 4ème,20.79%
Grégory Berthault,et Clarisse Kalachnikoff,Divers Ecologistes,Val-D'oise - 4ème,5.93%
Stephane Ledez,et Eddy Baheu,Sans étiquette,Nord - 15ème,2.99%
Aymeric Delefosse,et Romain Durrieux,Divers,Yvelines - 11ème,1.02%
